TC ID,Test Scenario,Preconditions,Priority,Severity,Module,URL,Test Steps,Data,Expected Result,Actual Result,Status,Defects
TC035,Coupon / Discount Apply,Cart/Checkout,P2,Medium,Cart/Checkout,Cart,"1. Enter coupon 
2. Click Apply",valid coupon,Discount applied & totals updated,Discount applied & totals updated,Passed,-
TC036,Open Checkout Page (flow),Cart has items,P1,Critical,Checkout,Checkout,1. Click Checkout/Proceed to payment,N/A,Checkout page loads with order summary,Checkout page loads with order summary,Passed,-
TC037,Mandatory Fields Validation (Checkout),On checkout,P1,High,Checkout,Checkout,"1. Leave required fields empty 
2. Submit order",N/A,Validation messages for required fields,Please fill out this field,Passed,-
TC038,Invalid Email / Phone Validation (Checkout),On checkout,P2,High,Checkout,Checkout,"1. Enter invalid email/phone 
2. Submit",invalid data,Error & prevent submission,"""500"" Server Error!",Failed,DEF-005
TC039,Payment Method Selection,Checkout page,P1,High,Payment,Payment Gateway,1. Check available methods,N/A,All advertised methods appear & selectable,All advertised methods appear & selectable,Passed,-
TC040,Card Payment End-to-end,Checkout gateway,P1,Critical,Payment,Payment Gateway,"1. Select Card 
2. Enter test card 
3. Submit",test card,Payment success + order confirmed,Payment success + order confirmed,Passed,-
TC041,Mobile Wallet (bKash/Rocket) Flow,Checkout,P1,High,Payment,Payment Gateway,"1. Select bKash/Rocket 
2. Complete payment",mobile acct,Payment success & order recorded,Payment success & order recorded,Passed,-
TC042,Payment Failure / Cancel Handling,Checkout/payment,P2,High,Payment,Payment Gateway,1. Simulate failed payment,invalid card,Proper failure message; no order created,Proper failure message; no order created,Passed,-
TC043,Multiple Payment Attempts,Checkout,P2,Medium,Payment,Checkout,1. Attempt multiple payment methods,multiple,Each attempt handled correctly,Each attempt handled correctly,Passed,-
TC044,Order Total & Currency Conversion,Cart/Checkout,P2,Medium,Checkout,Checkout,"1. Switch currency before checkout 
2. Check totals",N/A,Totals recalc correctly in chosen currency,Totals recalc correctly in chosen currency,Passed,-
TC045,Terms & Conditions / Acceptance,Checkout,P1,High,Checkout,Checkout,1. Try placing order without accepting T&C,N/A,System blocks until T&C accepted,System blocks until T&C accepted,Passed,-
TC046,Order Confirmation Page & Email,Successful payment,P1,Critical,Order,My Account,"1. After successful payment 
2. Observe page & email",N/A,Order confirmation displayed & email sent,Order confirmation displayed & email sent,Passed,-
TC047,My Orders / Order History,User logged in,P1,Medium,Orders,My Account,"1. Login 
2. Go to Orders
3. Check recent order",N/A,Order present with status & details,Order present with status & details,Passed,-
TC048,Digital Delivery — License / Download,Order placed,P1,Critical,Delivery,Order Page,"1. Check order detail 
2. Click download/license",N/A,License key / download link available,License key / download link available,Passed,-
TC049,Invoice / PDF Generation,Order placed,P2,Medium,Order,Order Page,"1. Open order
2. Download/print invoice",N/A,Correct invoice generated with VAT/prices,Correct invoice generated with VAT/prices,Passed,-
TC050,Refund / Cancellation Flow,Paid order,P2,High,Order/Support,Refund Policy,"1. Request refund 
2. Follow refund process",N/A,Refund flow follows policy; status updated,No refund option available,Failed,DEF-006
TC051,Contact Page — Form Submission,Contact page open,P2,Medium,Contact,Contact,"1. Fill contact form 
2. Submit",name/email,Success message + email delivered,"Sorry, mail us in info (at) bluedot (dot) ltd",Failed,DEF-007
TC052,Support Ticket Creation,Support page,P1,High,Support,My Account,1. Create support ticket,N/A,Ticket created & confirmation sent,pm.bluedot.ltd refused to connect.,Failed,DEF-008
TC053,FAQ / Knowledgebase Accessibility,Support page,P2,Low,Support,Homepage,"1. Open FAQ 
2. Search for common topics",N/A,FAQs load & relevant answers present,FAQ page/search option not available on site,Failed,DEF-009
TC054,Vendor Listing & Filter,Vendor page,P2,Medium,Vendors,Vendor,"1. Open vendor page 
2. Filter/sort results",N/A,Vendor products listed & filter works,Vendor products listed & filter works,Passed,-
TC055,Legal Pages Accessibility,Footer links,P2,Low,Legal,Homepage,"1. Click legal links
2. Ensure content loads",N/A,Pages accessible & content correct,Pages accessible & content correct,Passed,-
TC056,Reseller & Activation Policy Content,Legal pages,P2,Medium,Legal,Reseller Policy,"1. Read clauses 
2. Verify language & steps",N/A,Policy pages reflect company process,Policy pages reflect company process,Passed,-
TC057,Mobile Responsiveness,Mobile device,P2,Low,UI/Responsive,Homepage,"1. Open on mobile 
2. Navigate to product",N/A,Layout adapts; no overlap; menus usable,Layout adapts; no overlap; menus usable,Passed,-
TC058,Tablet Responsiveness,Tablet,P2,Low,UI/Responsive,Homepage,"1. Open on tablet
2. Check layout",N/A,Tablet layout OK,Tablet layout OK,Passed,-
TC059,Desktop Layout & Large Screen,Desktop,P2,Low,UI,Homepage,"1. Open large viewport 
2. Verify spacing",N/A,Layout correct & images sharp,Layout correct & images sharp,Passed,-
TC060,Buttons & Links Functionality,Any page,P2,Low,UI,Homepage,1. Click primary/secondary buttons,N/A,Buttons perform intended action,Buttons perform intended action,Passed,-
TC061,Images Load & Alt Text,Product & Homepage,P2,Low,Accessibility,Homepage,"1. Check images load
2. Inspect alt attributes",N/A,No broken images; alt text present,No broken images; alt text present,Passed,-
TC062,404 / Invalid URL Handling,Invalid URL,P2,Low,UI/Error Handling,Invalid URL,"1. Open invalid path
2. Observe response",N/A,Custom 404 page shown (friendly),Custom 404 page shown (friendly),Passed,-
